time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,distance,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
220.118805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031459,0.040803,0.140815,-0.014893,0.006348,-0.008789,0.000000,0,-230,-408,0
220.128571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031396,0.040808,0.140752,-0.000977,-0.004395,-0.009277,0.000000,0,-230,-408,0
220.138336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031579,0.040795,0.140756,0.022949,0.000977,0.016113,0.000000,0,-230,-408,0
220.148102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031647,0.040850,0.140881,-0.032959,-0.002686,0.000000,0.000000,0,-230,-408,0
220.157867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031464,0.040863,0.140878,0.004883,-0.003174,-0.002930,0.000000,0,-230,-408,0
220.167633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031586,0.040855,0.140880,-0.001465,-0.003174,0.010254,0.000000,0,-230,-408,0
220.177399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031466,0.040862,0.140939,-0.018555,-0.001709,0.001709,0.000000,0,-230,-408,0
220.187164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031587,0.040854,0.140942,0.038574,0.000977,-0.007080,0.000000,0,-230,-408,0
220.196930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031831,0.040837,0.140947,-0.016602,0.001465,-0.007080,0.000000,0,-230,-408,0
220.206696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031586,0.040855,0.140880,-0.017578,-0.004395,-0.000977,0.000000,0,-230,-408,0
220.222305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031773,0.040839,0.141069,-0.001465,0.005859,0.002686,0.000000,0,-230,-408,0
220.232086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031712,0.040843,0.141067,-0.016602,0.003174,-0.003906,0.000000,0,-230,-408,0
220.241852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031590,0.040852,0.141065,0.003662,-0.008057,0.000000,0.000000,0,-230,-408,0
220.251617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031650,0.040849,0.141005,0.028076,0.011719,-0.006104,0.000000,0,-230,-408,0
220.261383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031593,0.040914,0.141004,-0.013916,-0.002197,0.004883,0.000000,0,-230,-408,0
220.271149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031594,0.040913,0.141066,0.013916,-0.009033,0.014893,0.000000,0,-230,-408,0
220.280914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031591,0.040851,0.141126,-0.000977,0.001465,-0.002930,0.000000,0,-230,-408,0
220.290680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031594,0.040913,0.141066,-0.000488,0.011719,-0.001953,0.000000,0,-230,-408,0
220.300446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031594,0.040913,0.141066,0.001709,-0.009766,-0.001953,0.000000,0,-230,-408,0
220.310211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031593,0.040914,0.141004,0.000977,0.004639,-0.001953,0.000000,0,-230,-408,0
220.319977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031534,0.040917,0.141065,-0.005371,0.000977,0.019775,0.000000,0,-230,-408,0
220.329742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031411,0.040862,0.141245,0.000000,-0.014404,0.011719,0.000000,0,-230,-408,0
220.339508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031527,0.040794,0.141185,0.021240,0.010010,-0.014648,0.000000,0,-230,-408,0
220.349274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031651,0.040848,0.141066,0.010010,0.005859,-0.000488,0.000000,0,-230,-408,0
220.359039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031712,0.040843,0.141067,-0.010010,-0.009766,0.003174,0.000000,0,-230,-408,0
220.368805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031651,0.040848,0.141066,-0.011719,0.005859,0.000488,0.000000,0,-230,-408,0
220.378571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031591,0.040851,0.141126,-0.003662,0.005859,0.011230,0.000000,0,-230,-408,0
220.388336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031471,0.040859,0.141185,-0.025635,-0.003174,-0.004395,0.000000,0,-230,-408,0
220.398102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031409,0.040864,0.141122,0.006836,0.003662,-0.009277,0.000000,0,-230,-408,0
220.407867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031591,0.040851,0.141126,0.028076,0.004639,0.013428,0.000000,0,-230,-408,0
220.423492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031788,0.040957,0.141379,-0.003174,0.000488,-0.008789,0.000000,0,-230,-408,0
220.435211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031852,0.041014,0.141320,-0.004150,0.003662,0.001221,0.000000,0,-230,-408,0
220.444977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031669,0.041027,0.141316,-0.017090,0.003174,0.007568,0.000000,0,-230,-408,0
220.454742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031548,0.041036,0.141313,-0.001465,-0.002197,-0.001953,0.000000,0,-230,-408,0
220.464508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031548,0.041036,0.141313,0.013916,-0.002197,-0.003418,0.000000,0,-230,-408,0
220.474274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031608,0.041031,0.141314,0.010742,-0.000732,0.009521,0.000000,0,-230,-408,0
220.484039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031732,0.041022,0.141379,0.012695,0.005859,0.001709,0.000000,0,-230,-408,0
220.493805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031793,0.041017,0.141380,-0.005371,-0.002197,-0.005127,0.000000,0,-230,-408,0
220.503571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031791,0.041018,0.141318,0.001709,-0.001221,0.009033,0.000000,0,-230,-408,0
220.513336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031671,0.041026,0.141377,-0.021729,0.010010,-0.003906,0.000000,0,-230,-408,0
220.523102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031487,0.041040,0.141312,-0.005371,-0.005859,-0.005127,0.000000,0,-230,-408,0
220.532867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031543,0.040975,0.141312,0.016602,-0.000732,0.011230,0.000000,0,-230,-408,0
220.542633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031610,0.041030,0.141376,-0.006836,0.013184,-0.003418,0.000000,0,-230,-408,0
220.552399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031671,0.041026,0.141377,0.026367,-0.003906,-0.004395,0.000000,0,-230,-408,0
220.562164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031974,0.041005,0.141322,0.002686,-0.002197,0.005859,0.000000,0,-230,-408,0
220.571930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031791,0.041018,0.141318,-0.027100,0.010010,-0.003418,0.000000,0,-230,-408,0
220.581696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031669,0.041027,0.141316,-0.007324,-0.006348,-0.000977,0.000000,0,-230,-408,0
220.591461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031669,0.041027,0.141316,-0.002686,-0.002197,0.004395,0.000000,0,-230,-408,0
220.601227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031549,0.041035,0.141375,-0.024902,0.010986,0.002197,0.000000,0,-230,-408,0
220.610992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031549,0.041035,0.141375,0.012695,-0.007568,-0.007568,0.000000,0,-230,-408,0
220.620758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031730,0.041023,0.141317,0.012207,0.000977,0.005859,0.000000,0,-230,-408,0
220.630524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031732,0.041022,0.141379,-0.022949,0.009521,0.008057,0.000000,0,-230,-408,0
220.640289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031671,0.041026,0.141377,0.000000,-0.009033,-0.005127,0.000000,0,-230,-408,0
220.650040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031732,0.041022,0.141379,-0.004883,-0.008545,-0.002930,0.000000,0,-230,-408,0
220.659821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031666,0.040965,0.141376,-0.014893,0.007324,0.009033,0.000000,0,-230,-408,0
220.675446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031677,0.041084,0.141497,0.001709,-0.010254,-0.005127,0.000000,0,-230,-408,0
220.685211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031733,0.041019,0.141497,0.018555,0.009521,0.008057,0.000000,0,-230,-408,0
220.694962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031800,0.041074,0.141561,-0.017090,0.000000,-0.000977,0.000000,0,-230,-408,0
220.704742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031738,0.041080,0.141499,0.010742,-0.008057,-0.018311,0.000000,0,-230,-408,0
220.714493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031736,0.041080,0.141437,-0.000977,0.004639,0.007080,0.000000,0,-230,-408,0
220.724258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031555,0.041093,0.141495,-0.018066,0.003662,0.015381,0.000000,0,-230,-408,0
220.734024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031555,0.041093,0.141495,0.032227,-0.003906,-0.001953,0.000000,0,-230,-408,0
220.743790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031677,0.041084,0.141497,-0.010742,0.001953,0.004395,0.000000,0,-230,-408,0
220.753555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031617,0.041087,0.141558,0.013916,0.005127,0.004395,0.000000,0,-230,-408,0
220.763321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031739,0.041079,0.141560,0.014893,-0.006348,-0.001465,0.000000,0,-230,-408,0
220.773102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031800,0.041074,0.141561,-0.000977,-0.001709,0.000488,0.000000,0,-230,-408,0
220.782867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031739,0.041079,0.141560,-0.006836,0.000977,0.002197,0.000000,0,-230,-408,0
220.792618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031739,0.041079,0.141560,0.016602,0.002686,-0.000488,0.000000,0,-230,-408,0
220.802383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031678,0.041083,0.141559,-0.020752,0.003662,-0.005615,0.000000,0,-230,-408,0
