x_east_m,y_north_m,lat,lon,mnt_m,mns_m,mnh_m
-170.0,260.0,48.8127856,7.8493811,142.93,143.82,0.88
-160.0,260.0,48.8127856,7.8495175,142.9,148.83,5.93
-150.0,260.0,48.8127856,7.8496539,142.85,146.26,3.41
-140.0,260.0,48.8127856,7.8497903,142.87,142.87,0.0
-130.0,260.0,48.8127856,7.8499267,142.88,149.73,6.85
-120.0,260.0,48.8127856,7.8500631,142.83,143.96,1.13
-110.0,260.0,48.8127856,7.8501995,142.72,153.34,10.62
-100.0,260.0,48.8127856,7.8503359,142.79,155.59,12.81
-90.0,260.0,48.8127856,7.8504723,142.85,150.55,7.7
-80.0,260.0,48.8127856,7.8506087,142.39,142.39,0.0
-70.0,260.0,48.8127856,7.8507452,142.61,142.61,0.0
-60.0,260.0,48.8127856,7.8508816,142.6,142.6,0.0
-50.0,260.0,48.8127856,7.851018,142.61,142.61,0.0
-40.0,260.0,48.8127856,7.8511544,142.66,154.46,11.8
-30.0,260.0,48.8127856,7.8512908,142.71,147.04,4.33
-20.0,260.0,48.8127856,7.8514272,142.58,155.3,12.73
-10.0,260.0,48.8127856,7.8515636,142.54,159.35,16.81
0.0,260.0,48.8127856,7.8517,142.57,158.56,15.99
10.0,260.0,48.8127856,7.8518364,142.59,155.69,13.11
20.0,260.0,48.8127856,7.8519728,142.53,156.94,14.41
30.0,260.0,48.8127856,7.8521092,142.59,142.59,0.0
40.0,260.0,48.8127856,7.8522456,142.67,153.34,10.67
50.0,260.0,48.8127856,7.852382,142.66,142.66,0.0
60.0,260.0,48.8127856,7.8525184,142.57,142.59,0.01
70.0,260.0,48.8127856,7.8526548,142.69,142.69,0.0
80.0,260.0,48.8127856,7.8527913,142.58,142.58,0.0
90.0,260.0,48.8127856,7.8529277,142.59,142.59,0.0
100.0,260.0,48.8127856,7.8530641,142.49,142.49,0.0
110.0,260.0,48.8127856,7.8532005,142.56,142.56,0.0
120.0,260.0,48.8127856,7.8533369,142.5,142.5,0.0
130.0,260.0,48.8127856,7.8534733,142.46,142.46,0.0
140.0,260.0,48.8127856,7.8536097,142.44,142.44,0.0
