Msg_id: 1, Timestamp: 238.591119, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.591135, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.591148, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.591279, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.591296, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.591308, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.591440, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.591473, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.591486, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.591660, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.591678, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.591691, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.591915, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.591934, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.591946, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.592073, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.592090, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.592135, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.592299, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.592315, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.592327, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.592582, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.592599, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.592611, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.592718, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.592735, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.592747, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.592952, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.592968, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.592980, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.593239, Beacon ID: 1632, Seen Count: 2
