time,ACT_1,ACT_2,ACT_3,ACT_4,ACT_5,ACT_6,rate_p,rate_q,rate_r,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,g1g2[1][4], g1g2[1][5],  g1g2[2][4], g1g2[2][5],airspeed,guidance_cmd.phi, guidance_cmd.theta, guidance_cmd.psi,sp_accel.x, sp_accel.y, sp_accel.z,speed_sp.x, speed_sp.y, speed_sp.z,use_increment,cmd_roll,cmd_pitch,cmd_thrust,cmd_psi
12.032732,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1390.023682,1497.733765,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.020212,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.034686,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1369.726562,1477.452515,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.020250,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.036640,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1349.444458,1457.187988,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.020231,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.160087,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.038594,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1329.206055,1436.972778,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.014877,-0.005074,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.160087,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.040548,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1308.982300,1416.547852,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.014996,-0.005074,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.160087,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.042502,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1288.930420,1396.520020,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.014866,-0.005074,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.160087,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.044456,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1269.019165,1376.629639,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.014925,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.160087,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.046410,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1249.272461,1356.902588,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.014931,-0.005135,0.001870,-0.008662,-0.004001,0.004001,0.000201,0.000201,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.048364,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1229.717041,1337.374268,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.009283,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.050318,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1210.440918,1318.337158,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.009102,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.052272,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1191.356689,1299.281372,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.009045,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.054226,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1172.552368,1280.501099,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.009205,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.056180,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1154.049805,1262.030518,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.009115,-0.005135,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
